;Group;Section;QPos;Question;Type;Options;Role;TriggerReportOn;Surveillance;Actions;;;;;;;;;;;;;;;
0;Polymédication et traitements à risque;Polymédication et traitements à risque;1;À revoir;radio;Oui|Non;lock;Oui;À revoir;;;;;;;;;;;;;;;;
1;Polymédication et traitements à risque;Polymédication et traitements à risque;2;>5 par jour;radio;Oui:50|Non:0;;Oui;;Révision de l’ordonnance +- épaulée du pharmacien : limiter les prescriptions inappropriées (outils stopp and start), hiérarchiser, vérifier les interactions médicamenteuses, les effets cumulés et la fonction rénale.|Proposer la distribution par une IDE si besoin. Discuter la galénique;;;;;;;;;;;;;;;
2;Polymédication et traitements à risque;Polymédication et traitements à risque;3;A risque hémorragique;radio;Oui:50|Non:0;;Oui;Risque hémorragique;Limiter les risques de chute et d’ulcère gastro-duodénal en cas de risque hémorragique;;;;;;;;;;;;;;;
3;Polymédication et traitements à risque;Polymédication et traitements à risque;4;A risque d’hypotension artérielle;radio;Oui:50|Non:0;;Oui;Risque d’hypotension;Limiter les risques chute et prendre en charge une potentielle HTO;;;;;;;;;;;;;;;
4;Polymédication et traitements à risque;Polymédication et traitements à risque;5;A risque d’hypoglycémie;radio;Oui:50|Non:0;;Oui;Risque d’hypoglycémie;Prévenir les hypoglycémies et limiter les risque de chute;;;;;;;;;;;;;;;
5;Polymédication et traitements à risque;Polymédication et traitements à risque;6;A risque de troubles du rythme cardiaque;radio;Oui:50|Non:0;;Oui;Risque de trouble du rythme cardiaque;Réaliser un ECG avant d’introduire les médicaments à risque de troubles du rythme, contrôler le QTc avant et après introduction;;;;;;;;;;;;;;;
6;Polymédication et traitements à risque;Polymédication et traitements à risque;7;A risque de confusion;radio;Oui:50|Non:0;;Oui;Risque de confusion;Limiter les autres facteurs favorisant les confusions;;;;;;;;;;;;;;;
7;Polymédication et traitements à risque;Polymédication et traitements à risque;8;Association à risque de syndrome anticholinergique;radio;Oui:50|Non:0;;Oui;Risque de syndrome anticholinergique;Limiter les associations de traitement anticholinergiques;;;;;;;;;;;;;;;
;Polymédication et traitements à risque;Polymédication et traitements à risque;9;A risque de constipation;radio;Oui:50|Non:0;;Oui;Risque de constipation;Prendre en charge la constipation;;;;;;;;;;;;;;;
8;Polymédication et traitements à risque;Polymédication et traitements à risque;10;Association ou interaction médicamenteuse à risque majeur;radio;Oui:100|Non:0;;;;;;;;;;;;;;;;;;;
9;Polymédication et traitements à risque;Polymédication et traitements à risque;11;Qualité de la prise en charge actuelle;radio;Bonne|Partielle|Insuffisante;color;;;;;;;;;;;;;;;;;;
