Group;Section;QPos;Question;Type;Options;Role;TriggerReportOn;Surveillance;Actions
Repérage clinique;Repérage clinique;1;À revoir;radio;Oui|Non;lock;Oui;À revoir;
Repérage clinique;Repérage clinique;2;Candidose buccale;radio;Oui|Non;;Oui;Candidose buccale;"Aspect de candidose buccal à prélever +- traiter"
Repérage clinique;Repérage clinique;3;Cor au pied;radio;Oui|Non;;Oui;Cor au pied;"Suivi des cors aux pieds par le pédicure"
Repérage clinique;Repérage clinique;4;Présence d’escarre;radio;Oui|Non;;Oui;Escarre;"Prise en charge spécifique de l’escarre"
Repérage clinique;Repérage clinique;5;Maladie cancéreuse de la peau : basocellulaire, spinocellulaire, kératose actinique, nævi suspect, lésion des muqueuses suspectes;radio;Oui|Non;;Oui;Doute sur cancer cutané;"Avis dermatologique pour biopsie d’une lésion cutanée suspecte et poursuite de la prise en charge si nécessaire"
Repérage clinique;Repérage clinique;6;Syndrome Parkinsonien;radio;Oui|Non;;Oui;Syndrome Parkinsonien;"Bilan de syndrome Parkinsonien par le neurologue +- DAT scan avant la consultation, questionner des symptômes de démence à corp de Lewy, ne pas oublier d’éliminer une cause iatrogène"
Repérage clinique;Repérage clinique;7;Syndrome pyramidal;radio;Oui|Non;;Oui;Syndrome pyramidal;"Syndrome pyramidal à explorer par une IRM cérébrale avant de demander un avis au neurologue pour poursuivre la prise en charge"
Repérage clinique;Repérage clinique;8;Troubles de la marche et ou de l’équilibre;radio;Oui|Non;;Oui;Troubles de la marche et ou de l’équilibre;"Bilan et prise en charge spécifique des troubles de la marche"
Repérage clinique;Repérage clinique;9;Déformation osseuse;radio;Oui|Non;;Oui;Déformation osseuse;"Eliminer un antécédent de fracture devant une déformation osseuse +- prescrire une radiographie et une DMO"
Repérage clinique;Repérage clinique;10;Déformation articulaire;radio;Oui|Non;;Oui;Déformation articulaire;"Faire le bilan d’une déformation articulaire"
Repérage clinique;Repérage clinique;11;Déformation rachidienne;radio;Oui|Non;;Oui;Déformation rachidienne;"Eliminer des tassements vertébraux +- prescrire une DMO devant une déformation rachidienne, évaluer le retentissement pulmonaire si importante"
Repérage clinique;Repérage clinique;12;Amyotrophie;radio;Oui|Non;;Oui;Amyotrophie;"Devant une amyotrophie, réévaluer une possible dénutrition et/ou sarcopénie et revoir les conséquences motrices"
Repérage clinique;Repérage clinique;13;Bouchon d’oreille;radio;Oui|Non;;Oui;Bouchon d’oreille;"Evacuer le bouchon d’oreille avant d’évoquer une surdité"
Repérage clinique;Repérage clinique;14;Troubles de la déglutition au test au verre d’eau;radio;Oui|Non;;Oui;Troubles de la déglutition au test au verre d’eau;"Devant un trouble de la déglutition, demander un avis orthophoniste +- modification des textures alimentaire s’il existe un fort risque de fausse route"
Repérage clinique;Repérage clinique;15;Pupille blanc laiteuse;radio;Oui|Non;;Oui;Pupille blanc laiteuse;"Suspicion de cataracte à réévaluer par l’ophtalmologue"
Repérage clinique;Repérage clinique;16;Baisse d’acuité visuelle d’un œil ou des 2 yeux et/ou anomalie du champ visuel;radio;Oui|Non;;Oui;Baisse d’acuité visuelle d’un œil ou des 2 yeux et/ou anomalie du champ visuel;"Avis ophtalmologique pour explorer une baisse d’acuité visuelle et/ou une anomalie du champ visuel"
Repérage clinique;Repérage clinique;17;Mauvais état buccodentaire;radio;Oui|Non;;Oui;Mauvais état buccodentaire;"Consultation dentaire devant un mauvais état. Revoir la possibilité d’un appareillage. Repérer des répercussions nutritionnelles à corriger"
